fault_id,module,hierarchical_path,campaign_type,fault_kind,bit_index,name,result_type,result,cycles,error_code,fault_detect,safety_fault,latent_fault
B0001_000,config_slave,dut.u_cfg.read_interval_inv[0],config_bit,cfg_read_interval_inv,0,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_001,config_slave,dut.u_cfg.read_interval_inv[1],config_bit,cfg_read_interval_inv,1,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_002,config_slave,dut.u_cfg.read_interval_inv[2],config_bit,cfg_read_interval_inv,2,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_003,config_slave,dut.u_cfg.read_interval_inv[3],config_bit,cfg_read_interval_inv,3,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_004,config_slave,dut.u_cfg.read_interval_inv[4],config_bit,cfg_read_interval_inv,4,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_005,config_slave,dut.u_cfg.read_interval_inv[5],config_bit,cfg_read_interval_inv,5,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_006,config_slave,dut.u_cfg.read_interval_inv[6],config_bit,cfg_read_interval_inv,6,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_007,config_slave,dut.u_cfg.read_interval_inv[7],config_bit,cfg_read_interval_inv,7,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_008,config_slave,dut.u_cfg.read_interval_inv[8],config_bit,cfg_read_interval_inv,8,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_009,config_slave,dut.u_cfg.read_interval_inv[9],config_bit,cfg_read_interval_inv,9,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_010,config_slave,dut.u_cfg.read_interval_inv[10],config_bit,cfg_read_interval_inv,10,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_011,config_slave,dut.u_cfg.read_interval_inv[11],config_bit,cfg_read_interval_inv,11,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_012,config_slave,dut.u_cfg.read_interval_inv[12],config_bit,cfg_read_interval_inv,12,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_013,config_slave,dut.u_cfg.read_interval_inv[13],config_bit,cfg_read_interval_inv,13,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_014,config_slave,dut.u_cfg.read_interval_inv[14],config_bit,cfg_read_interval_inv,14,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_015,config_slave,dut.u_cfg.read_interval_inv[15],config_bit,cfg_read_interval_inv,15,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_016,config_slave,dut.u_cfg.read_interval_inv[16],config_bit,cfg_read_interval_inv,16,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_017,config_slave,dut.u_cfg.read_interval_inv[17],config_bit,cfg_read_interval_inv,17,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_018,config_slave,dut.u_cfg.read_interval_inv[18],config_bit,cfg_read_interval_inv,18,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_019,config_slave,dut.u_cfg.read_interval_inv[19],config_bit,cfg_read_interval_inv,19,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_020,config_slave,dut.u_cfg.read_interval_inv[20],config_bit,cfg_read_interval_inv,20,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_021,config_slave,dut.u_cfg.read_interval_inv[21],config_bit,cfg_read_interval_inv,21,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_022,config_slave,dut.u_cfg.read_interval_inv[22],config_bit,cfg_read_interval_inv,22,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_023,config_slave,dut.u_cfg.read_interval_inv[23],config_bit,cfg_read_interval_inv,23,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_024,config_slave,dut.u_cfg.read_interval_inv[24],config_bit,cfg_read_interval_inv,24,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_025,config_slave,dut.u_cfg.read_interval_inv[25],config_bit,cfg_read_interval_inv,25,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_026,config_slave,dut.u_cfg.read_interval_inv[26],config_bit,cfg_read_interval_inv,26,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_027,config_slave,dut.u_cfg.read_interval_inv[27],config_bit,cfg_read_interval_inv,27,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_028,config_slave,dut.u_cfg.read_interval_inv[28],config_bit,cfg_read_interval_inv,28,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_029,config_slave,dut.u_cfg.read_interval_inv[29],config_bit,cfg_read_interval_inv,29,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_030,config_slave,dut.u_cfg.read_interval_inv[30],config_bit,cfg_read_interval_inv,30,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_031,config_slave,dut.u_cfg.read_interval_inv[31],config_bit,cfg_read_interval_inv,31,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_032,config_slave,dut.u_cfg.read_interval_inv[32],config_bit,cfg_read_interval_inv,32,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
