fault_id,module,hierarchical_path,campaign_type,fault_kind,bit_index,name,result_type,result,cycles,error_code,fault_detect,safety_fault,latent_fault
B0001_000,config_slave,dut.u_cfg.read_interval_inv[0],config_bit,cfg_read_interval_inv,0,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_032,config_slave,dut.u_cfg.read_interval_inv[32],config_bit,cfg_read_interval_inv,32,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0001_063,config_slave,dut.u_cfg.read_interval_inv[63],config_bit,cfg_read_interval_inv,63,cfg_read_interval_inv,config_bit,detected,2,11,1,0,1
B0006_000,core_logic,dut.u_core.state_inv[0],core_bit,core_state_inv,0,core_state_inv,core_bit,detected,2,41,0,1,1
B0006_002,core_logic,dut.u_core.state_inv[2],core_bit,core_state_inv,2,core_state_inv,core_bit,detected,2,41,0,1,1
B0006_003,core_logic,dut.u_core.state_inv[3],core_bit,core_state_inv,3,core_state_inv,core_bit,detected,2,41,0,1,1
B0007_000,core_logic,dut.u_core.fault_or_accum_inv[0],core_bit,core_fault_or_accum_inv,0,core_fault_or_accum_inv,core_bit,detected,2,43,0,1,1
B0007_032,core_logic,dut.u_core.fault_or_accum_inv[32],core_bit,core_fault_or_accum_inv,32,core_fault_or_accum_inv,core_bit,detected,2,43,0,1,1
B0007_063,core_logic,dut.u_core.fault_or_accum_inv[63],core_bit,core_fault_or_accum_inv,63,core_fault_or_accum_inv,core_bit,detected,2,43,0,1,1
B0008_000,fault_detector,dut.u_fault_detector.fault_status_inv[0],fault_detector_bit,fd_fault_status_inv,0,fd_fault_status_inv,fault_detector_bit,detected,2,50,0,1,1
B0008_032,fault_detector,dut.u_fault_detector.fault_status_inv[32],fault_detector_bit,fd_fault_status_inv,32,fd_fault_status_inv,fault_detector_bit,detected,2,50,0,1,1
B0008_063,fault_detector,dut.u_fault_detector.fault_status_inv[63],fault_detector_bit,fd_fault_status_inv,63,fd_fault_status_inv,fault_detector_bit,detected,2,50,0,1,1
B0009_000,fault_detector,dut.u_fault_detector.error_code_inv[0],fault_detector_bit,fd_error_code_inv,0,fd_error_code_inv,fault_detector_bit,detected,2,50,0,1,1
B0009_004,fault_detector,dut.u_fault_detector.error_code_inv[4],fault_detector_bit,fd_error_code_inv,4,fd_error_code_inv,fault_detector_bit,detected,2,50,0,1,1
B0009_007,fault_detector,dut.u_fault_detector.error_code_inv[7],fault_detector_bit,fd_error_code_inv,7,fd_error_code_inv,fault_detector_bit,detected,2,50,0,1,1
B0010_000,heartbeat,dut.u_heartbeat.counter_inv[0],heartbeat_bit,heartbeat_counter_inv,0,heartbeat_counter_inv,heartbeat_bit,detected,2,0,0,1,0
B0010_016,heartbeat,dut.u_heartbeat.counter_inv[16],heartbeat_bit,heartbeat_counter_inv,16,heartbeat_counter_inv,heartbeat_bit,detected,2,0,0,1,0
B0010_031,heartbeat,dut.u_heartbeat.counter_inv[31],heartbeat_bit,heartbeat_counter_inv,31,heartbeat_counter_inv,heartbeat_bit,detected,2,0,0,1,0
