fault_id,module,hierarchical_path,campaign_type,fault_kind,bit_index,name,result_type,result,cycles,error_code,fault_detect,safety_fault,latent_fault
F0001,config_slave,dut.u_cfg.read_interval_inv,stuck_at_0,,,read_interval_inv,config_register,detected,2,11,1,0,1
F0002,config_slave,dut.u_cfg.base_addr_inv_q[0],stuck_at_0,,,base_addr_inv_q0,config_register,detected,2,11,1,0,1
F0003,config_slave,dut.u_cfg.offset_inv_q[0],stuck_at_0,,,offset_inv_q0,config_register,detected,2,11,1,0,1
F0004,config_slave,dut.u_cfg.mask_inv_q[0],stuck_at_all_1,,,mask_inv_q0,config_register,detected,2,11,1,0,1
F0005,config_slave,dut.u_cfg.burst_type_inv_q[0],stuck_at_0,,,burst_type_inv_q0,config_register,detected,2,11,1,0,1
F0006,config_slave,dut.u_cfg.entry_valid_inv_q[0],stuck_at_1,,,entry_valid_inv_q0,config_register,detected,2,11,1,0,1
F0007,config_slave,dut.u_cfg.expected_inv_q[0],stuck_at_0,,,expected_inv_q0,config_register,detected,2,11,1,0,1
F0008,core_logic,dut.u_core.state_inv,stuck_at_0,,,state_inv,core_register,detected,2,41,0,1,1
F0009,core_logic,dut.u_core.fault_or_accum_inv,stuck_at_0,,,fault_or_accum_inv,core_register,detected,2,43,0,1,1
F0010,core_logic,dut.u_core.pending_wr_ptr,stuck_at_all_1,,,pending_wr_ptr,core_register,detected,2,45,0,1,1
F0011,core_logic,dut.u_core.pending_rd_ptr,stuck_at_all_1,,,pending_rd_ptr,core_register,detected,2,45,0,1,1
F0012,core_logic,dut.u_core.outstanding_count,stuck_at_all_1,,,outstanding_count,core_register,detected,2,44,0,1,1
F0013,axi_read_channel,m_axi_rvalid_flat[0],timeout,,,axi_read_timeout,port_interface,detected,1200,21,1,0,0
F0014,axi_read_channel,m_axi_rresp_flat[1:0],error_response,,,axi_rresp_error,port_interface,detected,10,20,1,0,0
F0015,axi_read_channel,m_axi_rid_flat[3:0],rid_mismatch,,,axi_rid_mismatch,port_interface,detected,10,20,1,0,0
F0016,axi_read_channel,m_axi_rcheck_flat[15:0],crc_mismatch,,,axi_rcheck_error,port_interface,detected,10,20,1,0,0
F0017,core_logic,dut.u_core.state_inv,transient_flip,,,transient_state_inv,transient,detected,0,41,0,1,1
F0018,core_logic,dut.u_core.fault_or_accum_inv,transient_flip,,,transient_fault_or_accum_inv,transient,detected,0,43,0,1,1
F0019,config_slave,dut.u_cfg.mask_inv_q[0],transient_flip,,,transient_config_shadow,transient,detected,0,11,1,0,1
F0020,core_logic_kat,kat_expected,kat_mismatch,,,kat_mismatch,safety_self_test,detected,10,47,0,1,1
F0021,core_logic_tmr,dut.u_core.state_b/state_c,double_fault,,,tmr_double_fault,core_register,detected,2,41,0,1,1
F0022,axi_read_channel,m_axi_rcheck_flat[15:0],e2e_crc16_mismatch,,,e2e_crc16_mismatch,port_interface,detected,10,20,1,0,0
